Id,A_une_proposition_de_sa_banque__c,Age_emprunteur__c,Appel_Automatique__c,Avancement__c,BanquePrincipaleEmp__c,Connaissances_en_immobilier__c,CreatedDate,Deja_souscrit_credit_immo__c,DurSouhaitePret__c,EntiteMTXPiste__c,Esperance_de_gain_franchise__c,Esperance_de_gain_franchise_initiale__c,Esperance_de_gain_plateforme__c,Esperance_de_gain_plateforme_initiale__c,HonorairMTX__c,Id_ApporteurWeb__c,MensuSouhaitePret__c,MontAppPerso__c,MontEstimTravaux__c,MontPretCEL__c,MontPretPel__c,MontPretPricip__c,MontPretRel__c,MontPretTxZero__c,Nombre_de_banques_consultees__c,Origine__c,Points_profil__c,Points_profil_franchise__c,Points_profil_initiaux__c,Points_profil_initiaux_franchise__c,PropFinal__c,RecordTypeId,Residuel__c,SituActu__c,StageName,Taux_d_apport__c,TechMail_CategorieProfessionnelleCoEmpru__c,TechMail_CategorieProfessionnelleEmpru__c,TechMail_ContratDeTravailCoEmprunteur__c,TechMail_ContratDeTravailEmprunteur__c,TotalProposition__c,TotCharges__c,TotRev__c,Tx_Completude_Pieces__c,TxEndetApres__c,TypBien__c,TypProj__c,UsagBien__c
0065q00000AlAK0AAN,0,33.0,0,2.0,CIC,2.0,2023-10-20 04:44:34,1,20.0,001D00000238JsIIAU,5.04,5.04,2.33,2.33,,PARTENAIRE_IFRAME_MONEYVOX,,15000.0,120000.0,0.0,0.0,235055.0,0.0,0.0,0.0,Web,-2.14,1.986,-2.14,1.986,,01220000000TwMYAA0,5181.67,Propriétaire,6-Perdue,6.0,Salarié du privé,Salarié du privé,CDI période d'essai terminée,CDI période d'essai terminée,1.0,1750.0,7731.67,0.0,41.75,Autres,Acquisition+travaux,Investissement locatif
0065q00000AlAK5AAN,0,30.0,0,4.0,BOURSORAMA BANQUE,1.0,2023-10-20 04:44:34,0,20.0,001D000002DBPgXIAX,26.83,26.83,2.84,2.84,,MTX_MOBILE,593.0,5000.0,,0.0,0.0,91876.0,0.0,0.0,0.0,Web Calcul d'Enveloppe,-1.38,4.697,-1.38,4.697,,01220000000TwMYAA0,728.03,Locataire,1-Découverte,5.16,,Salarié du privé,,CDI période d'essai terminée,,0.0,1695.0,0.0,33.86,Appartement,Acquisition,Résidence principale
0065q00000AlAKPAA3,0,50.0,1,4.0,BNP PARIBAS,2.0,2023-10-20 04:56:59,1,20.0,0011i00000fsjhsAAA,6.24,6.24,0.04,0.04,2000.0,MTX,,30000.0,0.0,0.0,0.0,401232.0,0.0,0.0,0.0,Web,-6.21,1.667,-6.21,1.667,,01220000000TwMYAA0,24200.0,Propriétaire,6-Perdue,6.99,Travailleur indépendant,Travailleur indépendant,,CDD,4.0,500.0,25500.0,0.0,12.0,Maison,Acquisition,Investissement locatif
0065q00000AlAKQAA3,1,22.0,0,4.0,BNP PARIBAS,1.0,2023-10-20 06:25:44,0,20.0,0012000000YI0vnAAD,8.2,8.2,1.93,1.93,,MTX_MOBILE,746.0,10000.0,,0.0,0.0,114539.0,0.0,0.0,0.0,Web Calcul d'Enveloppe,-1.85,3.208,-1.85,3.208,,01220000000TwMYAA0,1018.29,Hébergé à titre gratuit,6-Perdue,8.03,,Salarié du privé,,CDI période d'essai terminée,2.0,0.0,2130.0,0.0,33.73,Maison,Acquisition,Résidence principale
0065q00000AlALOAA3,0,42.0,0,4.0,BANQUE POPULAIRE,2.0,2023-10-20 08:48:57,1,20.0,001D000002DBPgXIAX,7.64,7.64,1.49,1.49,,MTX_ESPACE_CLIENT,797.0,150000.0,,0.0,0.0,123482.0,0.0,0.0,0.0,Web Calcul d'Enveloppe,-2.14,3.059,-2.14,3.059,,01220000000TwMYAA0,2971.32,Locataire,6-Perdue,54.85,,Salarié du privé,,CDI période d'essai terminée,3.0,1000.0,5133.33,0.0,34.75,Maison,Acquisition,Usage mixte du bien
0065q00000AlALYAA3,0,37.0,1,3.0,LCL,1.0,2023-10-20 05:18:26,0,20.0,0015q000005O6h2AAC,0.95,20.38,0.7,1.27,2000.0,MTX_NEWSLETTER_231018,,30000.0,1.0,,,175782.0,,,0.0,Web,-1.03,0.407,-2.7,3.485,,01220000000TwMYAA0,1106.09,Locataire,6-Perdue,14.58,,Salarié du privé,,CDI période d'essai terminée,16.0,0.0,4124.67,0.0,34.09,Maison,Acquisition+travaux,Résidence principale
0065q00000AlAMMAA3,0,28.0,1,4.0,CREDIT AGRICOLE,2.0,2023-10-20 14:44:52,0,20.0,0012000000WmVdsAAF,0.92,0.92,0.42,0.42,1500.0,MTX_MOBILE,,2000.0,10000.0,0.0,0.0,103227.0,0.0,0.0,0.0,Web,-3.33,1.115,-3.33,1.115,,01220000000TwMYAA0,196.78,Hébergé à titre gratuit,6-Perdue,1.93,,Salarié du privé,,CDI période d'essai terminée,,0.0,1424.0,0.0,44.58,Maison,Acquisition+travaux,Résidence principale
0065q00000AlAMXAA3,0,41.0,0,4.0,SOCIETE GENERALE,2.0,2023-10-20 10:28:19,0,,0011i000004E5Y0AAK,86.9,0.0,10.12,0.72,1800.0,,,35000.0,35000.0,,,393635.0,,,0.0,Franchise,-0.81,4.39,-2.36,2.728,,01220000000TwMYAA0,3344.11,Locataire,6-Perdue,8.17,Salarié du privé,Salarié du public,CDI période d'essai terminée,Fonctionnaire ou assimilé,1.0,0.0,6712.0,0.0,33.13,Maison,Acquisition,Résidence principale
0065q00000AlANKAA3,0,41.0,0,2.0,BNP PARIBAS,2.0,2023-10-20 09:32:04,1,20.0,0015q000004TSWGAA4,60.63,60.63,11.65,11.65,,MTX,,170000.0,0.0,0.0,0.0,675942.0,0.0,0.0,0.0,Web,-0.77,3.816,-0.77,3.816,,01220000000TwMYAA0,1808.23,Propriétaire,1-Découverte,20.1,Salarié du privé,Salarié du privé,CDI période d'essai terminée,CDI période d'essai terminée,2.0,0.0,6808.33,0.0,62.77,Maison,Acquisition,Résidence principale
